"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping"
"Basic","Basic","","Z-resource
Extension-resourceCustom-resource","",0,*,"","","","null {[]} {[]}
"Basic.extension:name","Basic.extension","name","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.name|0.1.0]]} {[]}
","R5: Name for this citation record (computer friendly) (new)","R5: `Citation.name` (new:string)","Element `Citation.name` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.name` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The name is not expected to be globally unique. The name should be a simple alphanumeric type name to ensure that it is machine-processing friendly.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:title","Basic.extension","title","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.title|0.1.0]]} {[]}
","R5: Name for this citation record (human friendly) (new)","R5: `Citation.title` (new:string)","Element `Citation.title` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.title` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
This name does not need to be machine-processing friendly and may contain punctuation, white-space, etc. Use this element if you have a need for naming the citation record for human use, such as a display name for the citation record that is used when selecting citations from a list.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:experimental","Basic.extension","experimental","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.experimental|0.1.0]]} {[]}
","R5: For testing purposes, not real usage (new)","R5: `Citation.experimental` (new:boolean)","Element `Citation.experimental` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.experimental` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
Allows filtering of citation records that are appropriate for use versus not.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:date","Basic.extension","date","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.date|0.1.0]]} {[]}
","R5: Date last changed (new)","R5: `Citation.date` (new:dateTime)","Element `Citation.date` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.date` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
The date is often not tracked until the resource is published, but may be present on draft content. Note that this is not the same as the resource last-modified-date, since the resource may be a secondary representation of the citation record. Additional specific dates may be added as extensions or be found by consulting Provenances associated with past versions of the resource.

See guidance around (not) making local changes to elements [here](https://hl7.org/fhir/canonicalreso.html#localization).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:publisher","Basic.extension","publisher","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.publisher|0.1.0]]} {[]}
","R5: The publisher of the citation record, not the publisher of the article or artifact being cited (new)","R5: `Citation.publisher` (new:string)","Element `Citation.publisher` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.publisher` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
Usually an organization but may be an individual. The publisher (or steward) of the citation record is the organization or individual primarily responsible for the maintenance and upkeep of the citation record. This is not necessarily the same individual or organization that developed and initially authored the content. The publisher is the primary point of contact for questions or issues with the citation record. This item SHOULD be populated unless the information is available from context.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:contact","Basic.extension","contact","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.contact|0.1.0]]} {[]}
","R5: Contact details for the publisher of the citation record (new)","R5: `Citation.contact` (new:ContactDetail)","Element `Citation.contact` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.contact` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
May be a web site, an email address, a telephone number, etc.

See guidance around (not) making local changes to elements [here](https://hl7.org/fhir/canonicalreso.html#localization).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:description","Basic.extension","description","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.description|0.1.0]]} {[]}
","R5: Natural language description of the citation (new)","R5: `Citation.description` (new:markdown)","Element `Citation.description` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.description` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
This description can be used to capture details such as comments about misuse, instructions for clinical use and interpretation, literature references, examples from the paper world, etc. It is not a rendering of the citation as conveyed in the 'text' field of the resource itself. This item SHOULD be populated unless the information is available from context (e.g. the language of the citation is presumed to be the predominant language in the place the citation was created).","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:useContext","Basic.extension","useContext","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.useContext|0.1.0]]} {[]}
","R5: The context that the citation record content is intended to support (new)","R5: `Citation.useContext` (new:UsageContext)","Element `Citation.useContext` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.useContext` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
When multiple useContexts are specified, there is no expectation that all or any of the contexts apply.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:jurisdiction","Basic.extension","jurisdiction","","",0,*,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.jurisdiction|0.1.0]]} {[]}
","R5: Intended jurisdiction for citation record (if applicable) (new)","R5: `Citation.jurisdiction` (new:CodeableConcept)","Element `Citation.jurisdiction` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.jurisdiction` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
Element `Citation.jurisdiction` has been flagged as deprecated.
It may be possible for the citation record to be used in jurisdictions other than those for which it was originally designed or intended.

DEPRECATION NOTE: For consistency, implementations are encouraged to migrate to using the new 'jurisdiction' code in the useContext element.  (I.e. useContext.code indicating http://terminology.hl7.org/CodeSystem/usage-context-type#jurisdiction and useContext.valueCodeableConcept indicating the jurisdiction.)","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Basic.extension:purpose","Basic.extension","purpose","","",0,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/5.0/StructureDefinition/extension-Citation.purpose|0.1.0]]} {[]}
","R5: Why this citation is defined (new)","R5: `Citation.purpose` (new:markdown)","Element `Citation.purpose` is not mapped to FHIR R4, since FHIR R5 `Citation` is not mapped.
Element `Citation.purpose` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).
This element does not describe the usage of the citation. Instead, it provides traceability of ''why'' the resource is either needed or ''why'' it is defined as it is.  This may be used to point to source materials or specifications that drove the structure of this citation.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
