"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"Extension.extension:repeatUnitAmountType.url","Extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""repeatUnitAmountType""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:repeatUnitAmountType.value[x]","Extension.extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How the quantitative amount of Structural Repeat Units is captured (e.g. Exact, Numeric, Average)","How the quantitative amount of Structural Repeat Units is captured (e.g. Exact, Numeric, Average).","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:repeatUnit","Extension.extension","repeatUnit","","",0,*,"","","","Extension {[]} {[]}
","R5: An SRU - Structural Repeat Unit (new)","R5: `SubstancePolymer.repeat.repeatUnit` (new:BackboneElement)","Element `SubstancePolymer.repeat.repeatUnit` is part of an existing definition because parent element `SubstancePolymer.repeat` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `SubstancePolymer.repeat.repeatUnit` is part of an existing definition because parent element `SubstancePolymer.repeat` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.id","Extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:repeatUnit.extension","Extension.extension.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:unit","Extension.extension.extension","unit","","",0,1,"","","","Extension {[]} {[]}
","R5: Structural repeat units are essential elements for defining polymers (new)","R5: `SubstancePolymer.repeat.repeatUnit.unit` (new:string)","Element `SubstancePolymer.repeat.repeatUnit.unit` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.unit` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.unit` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `SubstancePolymer.repeat.repeatUnit.unit` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.unit` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.unit` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:unit.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:repeatUnit.extension:unit.extension","Extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:repeatUnit.extension:unit.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""unit""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:repeatUnit.extension:unit.value[x]","Extension.extension.extension.value[x]","","","",0,1,"","","","string {[]} {[]}
","Structural repeat units are essential elements for defining polymers","Structural repeat units are essential elements for defining polymers.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:repeatUnit.extension:orientation","Extension.extension.extension","orientation","","",0,1,"","","","Extension {[]} {[]}
","R5: The orientation of the polymerisation, e.g. head-tail, head-head, random (new)","R5: `SubstancePolymer.repeat.repeatUnit.orientation` (new:CodeableConcept)","Element `SubstancePolymer.repeat.repeatUnit.orientation` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.orientation` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.orientation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `SubstancePolymer.repeat.repeatUnit.orientation` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.orientation` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.orientation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:orientation.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:repeatUnit.extension:orientation.extension","Extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:repeatUnit.extension:orientation.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""orientation""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:repeatUnit.extension:orientation.value[x]","Extension.extension.extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The orientation of the polymerisation, e.g. head-tail, head-head, random","The orientation of the polymerisation, e.g. head-tail, head-head, random.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:repeatUnit.extension:amount","Extension.extension.extension","amount","","",0,1,"","","","Extension {[]} {[]}
","R5: Number of repeats of this unit (new)","R5: `SubstancePolymer.repeat.repeatUnit.amount` (new:integer)","Element `SubstancePolymer.repeat.repeatUnit.amount` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.amount` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.amount` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `SubstancePolymer.repeat.repeatUnit.amount` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.amount` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.amount` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:amount.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:repeatUnit.extension:amount.extension","Extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:repeatUnit.extension:amount.url","Extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""amount""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:repeatUnit.extension:amount.value[x]","Extension.extension.extension.value[x]","","","",0,1,"","","","integer {[]} {[]}
","Number of repeats of this unit","Number of repeats of this unit.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation","Extension.extension.extension","degreeOfPolymerisation","","",0,*,"","","","Extension {[]} {[]}
","R5: Applies to homopolymer and block co-polymers where the degree of polymerisation within a block can be described (new)","R5: `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` (new:BackboneElement)","Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.id","Extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension","Extension.extension.extension.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:type","Extension.extension.extension.extension","type","","",0,1,"","","","Extension {[]} {[]}
","R5: The type of the degree of polymerisation shall be described, e.g. SRU/Polymer Ratio (new)","R5: `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type` (new:CodeableConcept)","Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.type` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:type.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:type.extension","Extension.extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:type.url","Extension.extension.extension.extension.url","","","",1,1,"","","","uri {[]} {[]}
","identifies the meaning of the extension","Source of the definition for the extension code - a logical name or a URL.","The definition may point directly to a computable or human-readable definition of the extensibility codes, or it may be a logical URI as declared in some other specification. The definition SHALL be a URI for the Structure Definition defining the extension.","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""type""/>","","","","",,,,,"",,,,"Extension.url",1,1,"","","N/A"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:type.value[x]","Extension.extension.extension.extension.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
","The type of the degree of polymerisation shall be described, e.g. SRU/Polymer Ratio","The type of the degree of polymerisation shall be described, e.g. SRU/Polymer Ratio.","","","","","","","","","",,,,,"",,,,"Extension.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","N/A"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:average","Extension.extension.extension.extension","average","","",0,1,"","","","Extension {[]} {[]}
","R5: An average amount of polymerisation (new)","R5: `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average` (new:integer)","Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average` is part of an existing definition because parent element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation` requires a cross-version extension.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average` is not mapped to FHIR R4, since FHIR R5 `SubstancePolymer` is not mapped.
Element `SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.average` has no mapping targets in FHIR R4. Typically, this is because the element has been added (is a new element).","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:average.id","Extension.extension.extension.extension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"","","n/a"
"Extension.extension:repeatUnit.extension:degreeOfPolymerisation.extension:average.extension","Extension.extension.extension.extension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
